"ABA DE BANCO DE DADOS. NÃO ALTERAR. EM CASO DE NOVOS ÍTENS, PREENCHER CORRETAMENTE OS DADOS",,,,,,
,,,,,,
,,,,,,
ITEM,DESCRIÇÃO,FORNECEDOR,PART NUMBER ANUNCIO,VARIAÇÃO,ITENS POR VOLUME,Kg Unitário
54,CREATINA 100% POUCH,VITAFOR,JJHC60651,SEM SABOR,4,"0,60 Kg"
55,CREATINE,VITAFOR,ZRST41705,SEM SABOR,12,"0,40 Kg"
56,CURCUMA PLUS,VITAFOR,CCFJ46957,SEM SABOR,6,"0,10 Kg"
57,ENZYFOR,VITAFOR,KGLE32758,NO FLAVOR,6,"0,15 Kg"
58,FERRO + VIT C,VITAFOR,TUHW45726,30 CAPS,6,"0,10 Kg"
59,GLUTAMAX,VITAFOR,LGSE88543,SEM SABOR,12,"0,08 Kg"
60,IMUNOMULT 120,VITAFOR,DVFM93333,CÁPSULAS,6,"0,10 Kg"
61,ISOCRISP PLANT REFIL,VITAFOR,PFHA82189,SEM SABOR,4,"0,30 Kg"
62,ISOCRISP PLANT VEGAN,VITAFOR,GIPU69453,SEM SABOR,4,"0,30 Kg"
63,ISOCRISP WHEY REFIL,VITAFOR,IKDA88660,SEM SABOR,5,"0,30 Kg"
64,ISOFORT PLANT BANANA CANELA,VITAFOR,BADP82189,BANANA CANELA,6,"0,55 Kg"
65,ISOFORT PLANT BAUNILHA,VITAFOR,UHCZ82039,BAUNILHA,6,"0,55 Kg"
66,ISOFORT PLANT CACAU,VITAFOR,PCBV68779,CACAU,6,"0,55 Kg"
67,ISOFORT PLANT PAÇOCA,VITAFOR,PHOI00179,PAÇOCA,6,"0,55 Kg"
68,MAGNÉSIO PLUS,VITAFOR,SGDW01580,CÁPSULAS,6,"0,10 Kg"
69,MELATONINA LÍQUIDA,VITAFOR,ZIYP32151,GOTAS MENTA,32,"0,04 Kg"
70,NAC 60,VITAFOR,CQNX70788,CÁPSULAS,6,"0,08 Kg"
71,OMEGAFOR PLUS,VITAFOR,DKOT13671,CÁPSULAS,12,"0,23 Kg"
72,OMEGAMEMORY,VITAFOR,UHLS31160,CÁPSULAS,6,"0,10 Kg"
73,RESVERATROL,VITAFOR,ZXCF69495,COMPRIMIDO,6,"0,08 Kg"
74,SIMFORT G2,VITAFOR,VJJA83510,SACHÊS,12,"0,08 Kg"
75,SIMFORT PLUS,VITAFOR,UHMY34904,SACHÊS,12,"0,08 Kg"
76,TERMO FRUTAS VERM,VITAFOR,IVBM32534,FRUTAS VERM. C GENGIBRE,12,"0,30 Kg"
77,TERMO TANG CHÁ VERDE,VITAFOR,KGNQ31658,TANGERINA CHÁ VERDE,12,"0,30 Kg"
78,V-COFFEE ENERGY,VITAFOR,IOAN32114,ORIGINAL FLAVOR,12,"0,30 Kg"
79,V-FORT LIMÃO,VITAFOR,BLVH82221,LIMÃO,12,"0,24 Kg"
80,V-FORT UVA,VITAFOR,UMLY82459,UVA,12,"0,24 Kg"
81,VITA D3 D3,VITAFOR,ALWO97425,D3,6,"0,10 Kg"
82,VITAFOR AMINOVITA LIMÃO,VITAFOR,PJZI64173,LIMÃO,12,"0,24 Kg"
83,VITAFOR AMINOVITA MARACUJÁ,VITAFOR,MRCW65089,MARACUJÁ,12,"0,24 Kg"
84,WHEY ISOFORT BAUNILHA,VITAFOR,HXUZ33324,BAUNILHA,4,"1,00 Kg"
85,WHEY ISOFORT CHOCOLATE,VITAFOR,LUBD34498,CHOCOLATE,4,"1,00 Kg"
86,WHEY ISOFORT FRUTAS VERMELHAS,VITAFOR,XMJQ33722,FRUTAS VERMELHAS,4,"1,00 Kg"
87,WHEY POUCH BAUNILHA,VITAFOR,KKBI54084,BAUNILHA,4,"0,90 Kg"
88,WHEY POUCH BEIJINHO,VITAFOR,YSYP53558,BEIJINHO,4,"0,90 Kg"
89,WHEY POUCH MORANGO,VITAFOR,JIIK53267,MORANGO,4,"0,90 Kg"
90,WHEYFORT BAUNILHA,VITAFOR,YIZC03861,BAUNILHA,4,"1,10 Kg"
91,WHEYFORT CHOCOLATE,VITAFOR,WDTH03835,CHOCOLATE,4,"1,10 Kg"
92,WHEYFORT PAÇOCA,VITAFOR,MIBJ93125,PAÇOCA,4,"1,10 Kg"
93,WHEYFORT 3W PREMIUM BAUNILHA,VITAFOR,STWI71794,"BAUNILHA 1,8Kg",4,"1,90 Kg"
94,WHEYFORT 3W PREMIUM CHOCOLATE,VITAFOR,BOJO68780,"CHOCOLATE 1,8Kg",4,"1,90 Kg"
